"","aves","aves","aves","aves"
"cg07787583",9.39960550920922,9.39854016830058,9.39975991645764,9.39856793002858
"cg00745543",9.27412048394147,9.27460371654667,9.27463101177686,9.27483858336895
"cg01782059",9.63670772032857,9.63696632654438,9.63699513887742,9.63715017939385
"cg08594888",6.01726193665265,6.02286821310657,6.0156460029648,6.02174508167935
"cg27460547",6.82000978035291,6.81964009666643,6.82002041201194,6.81964326949507
"cg20509703",9.21167510462402,9.21082949173784,9.21176476693227,9.21100269900978
"cg15523135",9.47111791356527,9.47084049394378,9.4713199255526,9.47094236738449
"cg18011898",9.23322922425601,9.23350750445881,9.24295327644779,9.24484052705644
"cg05506864",9.52358975902432,9.5239300071383,9.52371765441545,9.52409670598436
"cg10834567",5.37856818997949,5.37205036504131,5.37566924393897,5.37135310859635
"cg23085281",8.96761935359197,8.96584693167884,8.96830064351865,8.9660677921189
"cg09341796",8.49715548012593,8.49646486669076,8.49768187171558,8.49683457270596
"cg02135395",5.250427008189,5.2507533816799,5.24980719605389,5.25040773117834
"cg01826979",8.3079580556863,8.30411016990557,8.30942513440691,8.30445436188345
"cg09479330",9.27623229434856,9.27625984230564,9.27647874471152,9.27633807640725
"cg23845009",7.45745837544334,7.45738166630477,7.45774361211892,7.4575210233962
"cg21748911",9.47553971794764,9.47589118962344,9.47591314835599,9.47601118260304
"cg01566785",7.27772082325837,7.27947408784525,7.27772932882688,7.27948023724182
"cg20230864",9.18925559070657,9.18760106831696,9.19006449099269,9.1875719500797
"cg21450520",9.13209826998274,9.13401441224413,9.13289608678821,9.13369403029234
"cg11616701",8.89284609591566,8.89296125603473,8.89316504209029,8.89303126302537
"cg20090883",9.53627357126413,9.5368649205975,9.53628798106306,9.5367903072097
"cg03203646",9.37368367897773,9.37412933976782,9.37482200896917,9.37483686392612
"cg25039753",9.22263807048569,9.22293152022662,9.22368867958826,9.22310659565657
"cg15473904",6.91791275431358,6.91677677040109,6.91922569562885,6.91848587433677
"cg03064447",9.23396794039017,9.23306592199041,9.234611275541,9.23335102667746
"cg26229990",6.86434768814756,6.8645513889528,6.86436287811316,6.86467081926345
"cg26143452",5.81209152277578,5.81013661136261,5.81191835568699,5.81016126945299
"cg04206389",9.42916466065124,9.42976796299035,9.42925884814158,9.42981770196462
"cg16964716",8.05246257753487,8.05226689321783,8.05371747818345,8.05323281632134
"cg27377279",8.22920700140503,8.2302401541362,8.22956950922142,8.23038190940383
"cg20704450",6.50309214159447,6.50754385342587,6.5036508551946,6.50835299462608
"cg26822501",6.796060762113,6.79504404505222,6.79589169664513,6.79485248882513
"cg21061022",9.3630890778046,9.3626520162287,9.36324217934213,9.36283409258601
"cg24447625",5.50934354208437,5.50942402213177,5.5089321635961,5.50926981405225
"cg08864079",9.45893554853466,9.45869933705459,9.45908795587653,9.45883404969142
"cg17301053",8.99633447650822,8.99739343535801,9.00905191568723,9.00909834791952
"cg15671529",9.45927578276611,9.45996765236359,9.45944692865008,9.46010766630993
"cg20191852",8.56781156789709,8.56670291023813,8.56965563750118,8.56784172311066
"cg11305360",9.33552423000267,9.33520767870766,9.33618918212844,9.3357329019063
"cg17156725",9.55719355110988,9.55759471101313,9.55723749440024,9.55772384781753
"cg19539605",8.66084577568748,8.66180229009748,8.66135294713242,8.6620385478573
"cg16207213",9.32316197556254,9.32212117932701,9.32347048978964,9.32235423537456
"cg02774726",5.2330851933571,5.23201899909288,5.23246592893738,5.23172906804066
"cg20634266",5.26436668769009,5.26565291969478,5.26346318008657,5.26504257238093
"cg20874812",5.44652395693126,5.44398675793494,5.44546683264561,5.4441876132287
"cg01756899",9.56815711821022,9.56821049848,9.56824698659563,9.5682787859693
"cg09939947",8.57447727109423,8.57244308411102,8.57493186422451,8.57204863026551
"cg09310229",9.41090302225693,9.41095592956894,9.41110103786023,9.41113932917676
"cg08153306",9.40499526203931,9.40523066502199,9.40516770386725,9.40533807959634
"cg27342910",9.41502954189069,9.41372749602001,9.4156925242024,9.41409869530869
"cg08881769",9.32084293044435,9.32166275634021,9.32063085856561,9.32164301492004
"cg24192805",5.09676271498827,5.0975738119314,5.09632959450261,5.09719117764302
"cg25361961",8.40825208237713,8.4078917864496,8.40852427511373,8.4079666185275
"cg00510892",9.37090245745398,9.37021124464052,9.37104831657364,9.37043325967699
"cg24918985",8.8848897578093,8.88309751593286,8.88621950017121,8.88410549913264
"cg13229857",6.6555438989638,6.65984815085894,6.65545800202182,6.65982658696426
"cg00317397",9.42005389771732,9.41893905966963,9.420058887097,9.41893392915147
"cg20958300",9.51358441628274,9.51312696933757,9.51385813147841,9.51327869397984
"cg24711888",9.00271702599656,9.00306404422881,9.00253994548017,9.00286449154864
"cg12618270",9.45640798713402,9.45620000816774,9.45630025759764,9.45617408404934
"cg04971375",9.45024723899877,9.45119187120943,9.44987136905143,9.45081813307745
"cg07387038",9.49028397436909,9.4911654047996,9.49122005197307,9.4928732923043
"cg13723038",8.31565396461007,8.31645252679845,8.31554967547456,8.31645485201701
"cg15612947",6.69966343536133,6.70024400080883,6.69922824469419,6.70003801931682
"cg10637435",8.34987082994982,8.34933196673234,8.35057647658484,8.35009241473519
"cg08604087",9.51970845867718,9.51956666099251,9.51983129532086,9.51961085599574
"cg16418459",9.14209559279127,9.14246278031072,9.14205992366248,9.14254117041581
"cg18885645",6.69090547405326,6.69268027174979,6.69084434596745,6.69274896839114
"cg06268710",9.00408440407189,9.00452251388702,9.00384999966312,9.00406811634555
"cg02219147",9.53525583013924,9.53585644449095,9.53930166155844,9.53917631164734
"cg25793430",6.32053821471093,6.32492462548382,6.31847435737265,6.32342332649494
"cg14206516",9.24506824271381,9.24510251983011,9.2455762102056,9.24530183259154
"cg05306298",9.47535745266928,9.47442236421605,9.47505247327563,9.47428091612528
"cg00846140",9.3764995001778,9.37534131429203,9.37744883454833,9.37585912028762
"cg14852552",9.19488202218614,9.19363775456794,9.1949592369416,9.19360019690913
"cg09081693",9.54861028939103,9.5489711102023,9.54870016361184,9.54900939965766
"cg04150971",7.07360986063483,7.07376537198637,7.07346734832368,7.07380894159815
"cg17568119",9.3046860490427,9.30519839546063,9.30479852385736,9.30550069183914
"cg08644104",9.53423893773272,9.53381922554434,9.53430182107779,9.53399348673007
"cg18460862",9.31961235423118,9.31957171717159,9.3196362466175,9.3195831686496
"cg13232995",8.37158771802749,8.37554537118558,8.37133900422698,8.3755245063207
"cg22784419",9.0651973972983,9.06555215864605,9.06549197294252,9.06564308602788
"cg00738815",9.23179961423408,9.23089512795762,9.23191109397884,9.23093921546455
"cg25239516",9.59211355362341,9.59241351255283,9.59212989181989,9.59236975694239
"cg23784228",9.36128304648012,9.36079749840065,9.3619119326638,9.36139604381533
"cg27565936",9.44148598318599,9.44094546805874,9.44146755711389,9.44091716226215
"cg20332104",6.932026237229,6.93351279974188,6.93195513572953,6.93346650239158
"cg04461566",8.49553100359244,8.49564853405848,8.49564190362416,8.49583984906128
"cg07143940",9.49466423799226,9.49520614104695,9.4944918482213,9.49502530629226
"cg08067088",9.54244130553599,9.5426502579303,9.54239985217056,9.54265864269509
"cg18961787",9.32552079751244,9.3253486100645,9.32547422809797,9.32514849224915
"cg02004867",8.79016568437873,8.78925954197027,8.79011472735196,8.78966922367509
"cg10700575",8.94267574644837,8.9410287917275,8.94282963898973,8.94100745879417
"cg24553775",8.58426226903919,8.58484852256228,8.5868190522419,8.58694935180158
"cg06720331",9.22146631284867,9.22030676585615,9.22238270731587,9.22098117311808
"cg04519775",8.64161829698052,8.64194334341301,8.64240795079446,8.64255144891577
"cg00472783",9.42627457093527,9.42626214634044,9.42628550728505,9.42630384275139
"cg19283244",9.11065874127946,9.11125452676034,9.11088843597882,9.11114400403404
"cg01402347",9.11130281178878,9.11341044315533,9.11144031991393,9.1136249822291
"cg06288684",7.0163401375509,7.01962022560604,7.0158539799819,7.01924218268351
"cg08567104",9.4418285211719,9.44123084374082,9.44195774084619,9.44126077155081
"cg00074522",9.44132978472292,9.44128862710218,9.44125738928188,9.44131662078144
"cg12846726",7.81156294930999,7.81254490528171,7.81161552699876,7.81268281017537
"cg08726078",9.25271972529854,9.25180594059522,9.25245019058026,9.25177511462443
"cg23631669",9.22052966565772,9.22071463786432,9.22051134236768,9.2204850172195
"cg22872376",6.75468002939253,6.752353415403,6.75488843540782,6.7525465984612
"cg04410959",8.15279872217237,8.15226622429519,8.15334455022932,8.15174383174121
"cg23609295",9.48783533781201,9.48836168190828,9.48800028078239,9.48843145270842
"cg13282908",9.63705687579366,9.63663755759622,9.63720883788849,9.63678624234726
"cg01408486",5.62918896089808,5.62889653156253,5.62833019975734,5.62830754176064
"cg07219285",8.87191809605986,8.87117563672059,8.87256240670297,8.87131425545667
"cg15622891",9.53842937307714,9.53842837100627,9.5385749864958,9.53847210290338
"cg01348961",5.47453099362454,5.47419765734715,5.47212223982847,5.47317227438325
"cg17435902",9.59895893314628,9.59925153822335,9.59897333299012,9.59927540140587
"cg06639701",9.05013452274639,9.0503826961693,9.05152740967534,9.05155867273796
"cg13769320",9.57622366264441,9.57621685912623,9.57637718109178,9.57625998607935
"cg05655613",7.85379777851074,7.85640184953829,7.85344204534627,7.85570728152885
"cg25980638",9.57288890382345,9.57278668710652,9.57289689689187,9.57289260513243
"cg21442040",9.26604548503501,9.26634796049411,9.26620150336386,9.26643773800428
"cg03784083",9.52931938530335,9.52936440342064,9.52937492503135,9.52926177259967
"cg23863342",9.45202573567538,9.45215210950387,9.45210547928902,9.45221170701996
"cg02163259",6.52140592848485,6.52101589043364,6.52093939915094,6.52100089959887
"cg11073032",7.59993222836956,7.6031787496525,7.59641178293964,7.59874494622624
"cg21466821",8.81565331805593,8.81506341948152,8.81643144079643,8.81559307109575
"cg21529462",9.50775037580814,9.50758903529615,9.50793291879843,9.50763598269653
"cg07857040",9.52998774647903,9.52970549866789,9.53043639590976,9.52992467143817
"cg10295790",8.86073458124514,8.86099118013501,8.86087145692557,8.86148323512529
"cg08156400",9.51162740559855,9.5115626765153,9.51179307262137,9.51168337111692
"cg25421374",9.1222287200932,9.12127857717821,9.1227302902349,9.12141088407663
"cg23701703",9.40245646195669,9.40214855561531,9.40270257656072,9.40238750711332
"cg14523045",9.4608682314167,9.4598896655792,9.46102041185417,9.45999498329233
"cg26442509",9.13906775293067,9.14047900430976,9.13913720245803,9.14053445281209
"cg05446586",9.57641047082396,9.57588932732166,9.57645552685449,9.57600596718204
"cg19828863",9.35139322457678,9.35163666567878,9.35155523561874,9.3520208371346
"cg01520588",8.19979562961808,8.19784024106546,8.20008509580014,8.19791817035271
"cg12364006",9.17317529372154,9.17258960956231,9.17378848585152,9.17284648069256
"cg24149319",9.51201843900513,9.51214623885019,9.51219254151891,9.51228688507282
"cg21375093",9.10922767428959,9.11009848640261,9.1098936541766,9.1106644672261
"cg01427597",5.69823640460819,5.69809804591596,5.69692624942347,5.69735056012988
"cg06476171",9.31769893836963,9.31578209353765,9.31887741530457,9.31659364111203
"cg26605447",5.63982450697998,5.63817128284176,5.63922595246562,5.63830111412896
"cg26053840",9.27688243599531,9.27641772152766,9.27723408809459,9.27685267139068
"cg25248507",8.74399956793802,8.74563508546774,8.74355910653107,8.74541578953325
"cg11584101",8.77962043562018,8.77990126433142,8.77857671076383,8.77952789756147
"cg09635497",8.76682388933259,8.76979596909358,8.77103720471386,8.77389153474969
"cg23795938",7.59237448349573,7.59350713734066,7.59226941669241,7.59291558601083
"cg20360841",9.52445518082574,9.52460569196201,9.52451583878675,9.52458874641568
"cg27000543",8.15765094954608,8.15549233906956,8.15739148778392,8.15548899201898
"cg04781098",6.07789367363228,6.07472782044639,6.07731863006197,6.07444194662062
"cg01134637",9.02427568808288,9.0249742512927,9.02333606805835,9.02414619692586
"cg04909834",9.42882716156901,9.42889787462703,9.42900792288173,9.42906217660355
"cg13629253",9.44722248374956,9.44687658184028,9.44787440156978,9.44744097372916
"cg21708145",9.41498537205941,9.41477185491664,9.41522912293747,9.41476743165616
"cg24943150",9.33957591888421,9.3389271123254,9.3400499653204,9.33918222680273
"cg03126153",9.50107507159359,9.4977853878978,9.50844000834912,9.50334900567248
"cg11499629",9.18924360985069,9.18919089085541,9.19195866836186,9.19087378881965
"cg05366052",9.39813104458598,9.39902443456356,9.39817757660648,9.39910533708847
"cg21405673",7.80639321049893,7.80706233032808,7.80988001035318,7.81047023627917
"cg11254303",9.31841037606744,9.31843348254019,9.31852497631218,9.31838564255022
"cg25178697",8.80260682629964,8.80205123598652,8.80273209574761,8.80205251031186
"cg01614898",8.73285252897278,8.73319706460623,8.73277941777878,8.73294455155784
"cg26088888",6.22037423950146,6.22172378271691,6.21911383839363,6.22093719140262
"cg09242530",9.46461426474954,9.46474499886921,9.46484326246662,9.46483474035528
"cg16924658",9.47282144753282,9.47311278302229,9.47294124306852,9.4732269668891
"cg26835506",8.96753136947425,8.96856501341729,8.96869200179417,8.96908941642102
"cg18957976",8.92452981997376,8.92327830943368,8.9250413734706,8.92372387810946
"cg08618173",9.06277199799557,9.06462126706452,9.06325915899373,9.064969650295
"cg09827433",9.20436172526241,9.20531120154409,9.20443507667129,9.20527885114729
"cg12354321",8.22260033011806,8.22236596545805,8.22291737927091,8.22255886618495
"cg06665305",5.78099957970674,5.7815429202301,5.78072751369967,5.78153589328728
"cg15150017",9.49219546631212,9.4923146390557,9.49234555341004,9.49243125583615
"cg04812351",9.25616339071152,9.25556508310495,9.25756405884893,9.25682993550143
"cg12140851",6.12144533209209,6.12026146967662,6.1212396520067,6.12028903330037
"cg16900002",8.39958013938207,8.39827920218597,8.39974714006906,8.39812311205274
"cg22625791",8.44902181313524,8.44909367625256,8.44937688172643,8.44938647365671
"cg03791799",9.23436237915075,9.23527771421848,9.23567650236655,9.236368290004
"cg13917597",9.50717182520818,9.50707966004348,9.50731955348728,9.5069382822779
"cg21212591",7.13133606950425,7.13453671507578,7.1311867723421,7.13430508701985
"cg09542006",9.27239320109748,9.27235055527634,9.27267464912193,9.2727214168808
"cg03869296",9.50739121358556,9.50769948523446,9.50736329217246,9.50756855372676
"cg19420765",7.28126890868907,7.28253279654291,7.28121598148325,7.28245859671492
"cg06555548",9.3910274134054,9.39081381425072,9.39130061809137,9.39097837343817
"cg07980693",9.35831309038956,9.35778650416466,9.35936030261113,9.35847894994438
"cg13035218",9.25700866868272,9.25603348675023,9.25742361982253,9.25654299457188
"cg17221438",9.06990489049697,9.06940146997862,9.07003105051593,9.06958345202454
"cg10870160",8.1886993690966,8.18787733258128,8.18910353984823,8.18804703767304
"cg06627916",9.00123952210895,8.9993708419622,9.00158444431639,8.999586245843
"cg21589717",8.76438398343671,8.76440218029363,8.76458520329892,8.76441677552751
"cg12440404",9.13923319407822,9.13828809076875,9.13922727324287,9.13788789753653
"cg07250238",8.51773853474887,8.5189483318508,8.51900383102985,8.51948935643831
"cg05839570",9.40827755976305,9.40842178853598,9.40863098628564,9.4085151710008
"cg07755343",9.71950559448178,9.71930008067316,9.71962264578182,9.7194535784545
"cg19197419",5.14119943020057,5.14405162374027,5.14111724495625,5.14379066677379
"cg13873869",9.1671964691519,9.16689279398592,9.16745680161617,9.16697716495635
"cg02197634",9.27316525301053,9.26840783294564,9.2765088774804,9.27131040889411
"cg09686333",9.35571146210071,9.35490237185454,9.35597614651892,9.35512278807976
"cg07903232",9.45326000379907,9.45371226886953,9.4531331291132,9.453611364783
"cg17425810",5.76158486289804,5.76301241415682,5.76104580060423,5.76249324788588
"cg14376041",8.91911046575139,8.92121983296225,8.92005073279143,8.92151296513325
"cg04318200",8.19936894261544,8.20035355120645,8.19944151418002,8.20018573542655
"cg07520269",6.30534698295421,6.30124112361627,6.30548794201768,6.30156721831759
"cg17027138",8.75942466981739,8.75840960367119,8.75976259477159,8.75848963682542
"cg15330013",9.48710484790812,9.48686906853954,9.4870848284772,9.4868507057655
"cg12753957",5.60600345838936,5.60707387634267,5.60535225687423,5.60645281799769
"cg02613601",8.99856240720999,8.99982086998777,8.9985280547294,8.99994358203878
"cg25446438",7.7107495615552,7.71049613772093,7.71090562914425,7.71062340643519
"cg00496126",9.34440753376449,9.34459112780594,9.34429669955125,9.34460196417108
"cg06012932",9.26340080927991,9.2630001773847,9.26339985166398,9.26308856770911
"cg00465487",9.03691927026006,9.0368716830707,9.03712963937983,9.03699654810146
"cg14557064",9.63726767634515,9.63737770827199,9.63738467420603,9.63725598681042
"cg00812578",9.10549208223195,9.1039639735589,9.10581313406083,9.10408501829656
"cg03562531",8.9077145727556,8.90678867707956,8.90838022990246,8.90723655876493
"cg15885251",9.46973155032421,9.47007179932283,9.47004148702973,9.47030068924934
"cg18459470",9.3824480069567,9.38324771793703,9.38296633527183,9.38363356328499
"cg19699994",9.40548316733041,9.40515097210267,9.40555150589637,9.40510481600565
"cg18667130",9.35440964944201,9.35477733494872,9.35498851844877,9.35492830599095
"cg12958561",5.96757341246909,5.95596870972597,5.95668448204545,5.94504312889965
"cg02814404",8.23841167628515,8.23849488280045,8.23908103039839,8.23921843390842
"cg21262032",8.31829288256841,8.31963518354724,8.31929073598201,8.3208688666177
"cg19800061",8.14564466979837,8.14080157638121,8.14574105736325,8.14098884040842
"cg20400904",9.46363762255285,9.46334971990897,9.46381939272885,9.46447697059228
"cg02937491",9.5292962928253,9.52931847427957,9.52932736999363,9.52937600090795
"cg09587487",9.30178472228132,9.30294078426606,9.30203231442457,9.30318298469424
"cg07858300",9.11604945993973,9.11662943199207,9.11636121851685,9.11664399949598
"cg08450742",9.59976361469439,9.59932775146327,9.59985540334474,9.59944121289732
"cg16343924",8.47673901583995,8.47512510247642,8.47713319200334,8.47523424031524
"cg19791727",8.88445428698643,8.88791675678692,8.88558916487999,8.88810814231086
"cg13341540",8.83103331227946,8.83056521556041,8.83144016608282,8.83069877610429
"cg09668936",9.53607691049394,9.53692887873667,9.53597182370165,9.53688564986691
"cg05715266",9.37621014503005,9.37636739299575,9.37634003480692,9.37646093280483
"cg00791280",9.54870205079113,9.54851160873757,9.54878747554962,9.54855453810459
"cg07772362",9.25455327641598,9.255279113533,9.25555194485948,9.25558752746422
"cg06042575",9.31507664181079,9.31598593991449,9.31514595706204,9.31595017513793
"cg22428867",9.34700336890373,9.3456400109016,9.34719653678113,9.34573249352287
"cg19642877",7.30172814866099,7.30173201616597,7.30175512675622,7.30175230845097
"cg11624439",9.45839412292011,9.45858097072507,9.45874478718811,9.45892674430627
"cg22974799",9.59356421723877,9.59368396522297,9.59381451893298,9.59382433726276
"cg05301589",9.53299733473425,9.53295429998698,9.53306614562377,9.5329796695192
"cg06262098",8.16860699492491,8.16785895668861,8.16911296090515,8.16813240454836
"cg16974036",9.21436200968736,9.21408282792854,9.21468563055153,9.21408156971573
"cg18189314",9.32667667648521,9.32816887804441,9.32694480414702,9.32837717583865
"cg13669723",8.95365174856444,8.95201787416763,8.95428689066591,8.95233426672031
"cg12330259",6.44068121379997,6.44108964180298,6.44053157886108,6.44100555557413
"cg26176582",9.08254927932955,9.08141005311568,9.08218507540388,9.08124939657823
"cg26030553",9.11117875399512,9.11140825413307,9.11141868624027,9.11158718156994
"cg17080223",5.91448975668082,5.91506540056784,5.91377070622186,5.91464853980039
"cg16757384",7.55018987112154,7.55221269937688,7.55030409738411,7.5522284011511
"cg06529747",9.21137898782185,9.21196211580782,9.21155407754669,9.21206564349877
"cg21493174",9.51156257611704,9.51149332204786,9.51194436272134,9.51191489617564
"cg16897216",9.24690618814371,9.24714782934243,9.24705609775596,9.24725885788283
"cg07977087",9.51934284005526,9.51947595690534,9.52896791246993,9.5281867573273
"cg17251401",9.21606969188623,9.21665330542797,9.21650657736817,9.21707505967656
"cg06860386",9.39144626034325,9.39145899615231,9.39154635981117,9.39161564041886
"cg01894046",9.08614398229301,9.08560605129553,9.0863397336007,9.08582950447838
"cg16270231",9.369598466411,9.36921518823227,9.36941595126946,9.36920004775936
"cg25771195",6.9386350337854,6.93859814595626,6.93901337555202,6.93893375070116
"cg10239022",8.1906155953266,8.19024978284758,8.19068116957271,8.19017922858426
"cg07084930",8.50492612560914,8.50357968045212,8.5056480438591,8.50417107776707
"cg05854310",7.58065288223144,7.58226923965914,7.58054484517827,7.58175689301329
"cg03483427",9.56726803885237,9.56646235584208,9.56727728222858,9.56641779658772
"cg07060816",9.4166808440077,9.41695408832311,9.41693994965215,9.41711137009519
"cg11551571",8.34429297680026,8.34433096053374,8.34487694162079,8.3445757722195
"cg17697177",9.23195363118316,9.23200057409385,9.23251682695738,9.23263133470472
"cg23221010",9.3936921914397,9.39321533386992,9.39378288504894,9.39343583016193
"cg23022457",9.03249103155658,9.03287034855983,9.03424173869277,9.03418334283115
"cg10044092",8.43891575612067,8.43934248249725,8.43934774895501,8.43966039599901
"cg09818863",7.20091843626046,7.20155101600664,7.2009588694295,7.2015878496889
"cg25895971",5.37324646853661,5.37406358565596,5.37405582423375,5.37445922147137
"cg04833379",8.71316600374474,8.71297234710947,8.71326526951636,8.71261591256431
"cg14315271",8.96855278710935,8.96605522403181,8.96732254798571,8.96497355527405
"cg12326203",9.34624378201804,9.34605578401875,9.34624743559656,9.3459772663521
"cg27297662",9.13678130241438,9.12944190900602,9.14467584844846,9.13935018570796
"cg22488568",9.72421317533978,9.72423576327309,9.72489184234947,9.72450386020787
"cg05208572",6.10375192465279,6.10169947314697,6.10353826625146,6.1020589758267
"cg25618559",8.35171240926287,8.35129420802775,8.35317769555272,8.35230149872265
"cg19602100",9.03292095900942,9.03367188447213,9.03312465877696,9.03398324817157
"cg01237067",9.43310706660294,9.43384701363932,9.43353496642188,9.43413265839362
"cg16960741",8.14380166954866,8.14503935874346,8.14362459321901,8.14463167491668
"cg26554385",7.32968225955635,7.32835600277524,7.32964635458281,7.32833567721403
"cg18408411",9.13830167752126,9.13810914961147,9.13894294102704,9.13846231734894
"cg27613737",6.41380710375537,6.41407245229059,6.41298053853648,6.41347444631259
"cg22138627",9.36522853837806,9.36610721398998,9.36527381258347,9.3660750912387
"cg25038184",9.55191723627481,9.55193929067915,9.55229785112564,9.55225816810967
"cg16752068",9.38661240939653,9.38697411747762,9.38685744113281,9.38705453330686
"cg05845765",5.53945759286871,5.53809601448493,5.53840100822483,5.5370726915777
"cg11431308",9.11153537709999,9.11144903420235,9.11194580497825,9.11163246413012
"cg26841114",9.34603109226905,9.34648937783705,9.34636792502195,9.34695018981916
"cg14902204",8.14532195870993,8.14533834345273,8.14589459520843,8.14579506798731
"cg19550910",9.31192826288992,9.31187138456072,9.31238184281594,9.31216010605029
"cg05883708",9.42699311383762,9.42675248500841,9.42743455699498,9.42717790738121
"cg10832009",9.34189560112633,9.34149615225168,9.34225879990342,9.34172972060691
"cg23110286",9.41959089142099,9.41951644377535,9.41992116254814,9.4198225287581
"cg02438965",9.45425462771416,9.45386822571663,9.45462673893323,9.45409450519043
"cg13084569",9.39820959475506,9.39898891007731,9.39823554533091,9.39900332995651
"cg18538985",9.09667667335473,9.09502068607399,9.09676575895848,9.09516435477628
