"","aves","aves","aves","aves"
"cg07787583",0.534834382939393,0.534647006606319,0.534797625156422,0.534526292355356
"cg00745543",0.515502233909974,0.515908947006998,0.515610003718372,0.515997564135066
"cg01782059",0.580969897582815,0.58097711215354,0.580984879262799,0.580995074745551
"cg08594888",0.24086002025612,0.239644751970309,0.240827164091669,0.239635088033765
"cg27460547",0.242582053953577,0.242452386242859,0.242566468639902,0.242434339596643
"cg20509703",0.503217254534347,0.502656276432901,0.503396258102443,0.502858524327085
"cg15523135",0.548982909261266,0.548868357327387,0.549149944843433,0.54900611707981
"cg18011898",0.503604574372842,0.503932898007698,0.503700663983556,0.503746628759053
"cg05506864",0.559281652745079,0.55944268325559,0.55927034310067,0.559436921116497
"cg10834567",0.282370434460741,0.281894553944899,0.282706022524624,0.282086085660838
"cg23085281",0.463286106708683,0.46330507329074,0.463640855500528,0.463600769318694
"cg09341796",0.394730048913033,0.394372816014401,0.394759103120373,0.39437975259542
"cg02135395",0.290237618695902,0.289755060455924,0.29012152344902,0.289626910841318
"cg01826979",0.367739485948016,0.366397819642363,0.367517603443678,0.366262386388191
"cg09479330",0.516830107463227,0.516400755023689,0.516828474007358,0.516393568932328
"cg23845009",0.274844537215605,0.274751235767226,0.27490815448912,0.274798427386807
"cg21748911",0.550459631567781,0.55062252362686,0.550634480736364,0.550850702550437
"cg01566785",0.267115388599652,0.267280225137467,0.267124071200958,0.267292070097437
"cg20230864",0.497353185668121,0.497485932614353,0.497574209733757,0.49741096703413
"cg21450520",0.493434871919065,0.493465539576573,0.493656733805368,0.493498261226009
"cg11616701",0.450505165068052,0.450314394140978,0.450533642453953,0.45030152326329
"cg20090883",0.562275381715687,0.562299240812315,0.562232928930468,0.562253713113333
"cg03203646",0.533330408473608,0.53358472602877,0.533593169298438,0.533724971835719
"cg25039753",0.506183590619685,0.505720056663895,0.506412058848022,0.505893217875816
"cg15473904",0.242550131669254,0.242317258093016,0.243023835029407,0.242674921264785
"cg03064447",0.50888011850817,0.50856816651548,0.508943834694491,0.508611528322831
"cg26229990",0.243423191683925,0.242214924074926,0.243471108871865,0.242255159507311
"cg26143452",0.252057779756315,0.251119789653151,0.251483546255672,0.250449024133362
"cg04206389",0.543084557652498,0.543170909081403,0.543047957740251,0.543134284572702
"cg16964716",0.336970744139675,0.33677962910888,0.336923059848425,0.336648283307452
"cg27377279",0.352237812086692,0.351662180332356,0.352322346629137,0.351756328006228
"cg20704450",0.231732424238817,0.231675334896746,0.231423489750749,0.231384393364609
"cg26822501",0.234574140272821,0.23464410188891,0.234588887993521,0.234664460452739
"cg21061022",0.530769985443914,0.530760691841946,0.530916481121722,0.530912734767265
"cg24447625",0.263600004539411,0.263433580161825,0.263529108396852,0.263355866883094
"cg08864079",0.548067494912134,0.548194530582875,0.54806736312216,0.548212530735378
"cg17301053",0.473169444704035,0.47309478489921,0.478159126563956,0.477685900483759
"cg15671529",0.548048432751027,0.54818366165691,0.54797170354388,0.548096025822413
"cg20191852",0.398182675825978,0.3978225346288,0.399066385434044,0.398658039557182
"cg11305360",0.526118121832214,0.526185502211679,0.526455982151383,0.526497679061915
"cg17156725",0.566233369365137,0.566376295760823,0.566155977047723,0.566311471094673
"cg19539605",0.416764448277808,0.416726561982302,0.416912511801203,0.41689045805515
"cg16207213",0.520602768476499,0.520439601841558,0.520449903067782,0.520189050306472
"cg02774726",0.300771311888195,0.30100735312135,0.300904367770384,0.30102335793441
"cg20634266",0.289540114109824,0.289632623159064,0.289603161627492,0.289604398711816
"cg20874812",0.279000769012002,0.279077031158594,0.277833463159634,0.277481973995205
"cg01756899",0.567736324067643,0.567757944698752,0.567754879119802,0.56778458156158
"cg09939947",0.396403262251515,0.396506822538986,0.39631130819317,0.396370977831128
"cg09310229",0.539098995404545,0.539029248364212,0.539158912525714,0.539081777215423
"cg08153306",0.537566825435332,0.537706721345929,0.537622405114724,0.537697941138066
"cg27342910",0.539200854870036,0.538956516296246,0.539360084072438,0.539047556725815
"cg08881769",0.521949578747421,0.522098436812707,0.522031181231464,0.522211333868663
"cg24192805",0.307782727385775,0.307697923854195,0.307601529313424,0.30743066934218
"cg25361961",0.378249367073072,0.378532033123053,0.378348324357479,0.378674183951995
"cg00510892",0.531666997049553,0.531398070531708,0.531654403610783,0.5314368780379
"cg24918985",0.448367279961066,0.447752818281869,0.448594410115225,0.44775197865267
"cg13229857",0.23265003328844,0.232805343297192,0.232783460001861,0.232921543644446
"cg00317397",0.539904147255124,0.53980474189876,0.539765822973464,0.539687123323455
"cg20958300",0.55738333511289,0.557539051809108,0.557449634196733,0.557581133412935
"cg24711888",0.468921715617122,0.46881401196455,0.468752707743177,0.468659279774589
"cg12618270",0.546644830419785,0.546654559628178,0.546511542239825,0.546523100233326
"cg04971375",0.547077810630604,0.547121578749944,0.546929106454709,0.546988229263383
"cg07387038",0.555056519768973,0.555128094327481,0.55769158047902,0.557822356374832
"cg13723038",0.369127110247242,0.3691113797917,0.368993561800219,0.368949393943857
"cg15612947",0.241559665665928,0.241032942088627,0.241590914058781,0.241082682272411
"cg10637435",0.368054088492608,0.368025726203169,0.368144135475812,0.368147548038073
"cg08604087",0.557708673233871,0.55784550352342,0.557766345808053,0.557875668635732
"cg16418459",0.49086948996751,0.490885501535923,0.49082498781199,0.490784575638795
"cg18885645",0.24052341776807,0.239307195385604,0.240559439681132,0.239388194685789
"cg06268710",0.466265479881303,0.466308316435767,0.466358953050935,0.46636108722092
"cg02219147",0.564301586880024,0.564371696409192,0.566910981514565,0.567331445305142
"cg25793430",0.239421139658751,0.239838272146586,0.239718865136019,0.240137397561807
"cg14206516",0.507922274986748,0.50851262706977,0.508089617336139,0.508595431478297
"cg05306298",0.549116409007425,0.548985169969314,0.549062557126067,0.548883806790688
"cg00846140",0.5337446558392,0.533727183380162,0.534151915440909,0.533994276871929
"cg14852552",0.499998219404307,0.499939321842719,0.500203748747255,0.500116085786955
"cg09081693",0.564174322521991,0.56426676157232,0.564152311335312,0.564204985263647
"cg04150971",0.262304798893319,0.261609403869748,0.262323301704633,0.261651454528278
"cg17568119",0.520430273814141,0.520723248186246,0.520471937363098,0.520836805659881
"cg08644104",0.562849595942862,0.562845010091512,0.562928353121172,0.562950512088833
"cg18460862",0.522218338589342,0.522264986270602,0.522236959078537,0.522283214608728
"cg13232995",0.37339831751516,0.374562627073203,0.373334882935024,0.374372171961752
"cg22784419",0.479383081638799,0.479384063548274,0.479479657941593,0.47939955925491
"cg00738815",0.506975160049951,0.507067111614301,0.507139630277968,0.5072163756471
"cg25239516",0.572468438268846,0.572554278558302,0.572476959662533,0.572556003752398
"cg23784228",0.531547468730406,0.531577836196693,0.531594661127871,0.531731552750164
"cg27565936",0.543752168539647,0.543790170971784,0.543660621582881,0.543647969790015
"cg20332104",0.248845919946121,0.249036599874297,0.248838555387584,0.249023676014169
"cg04461566",0.395213342037494,0.395251922585062,0.395290051163866,0.395376463238813
"cg07143940",0.554548757280606,0.554666455710392,0.55449953862676,0.554613236126798
"cg08067088",0.563619156568345,0.563647002795746,0.563594598652548,0.563625936532986
"cg18961787",0.524542852172751,0.524550194002499,0.524416307874074,0.524446554876615
"cg02004867",0.43662101914903,0.436582768808255,0.436494167195242,0.4366736373071
"cg10700575",0.456160436227573,0.456257176110682,0.456356246701819,0.45642372961547
