"","x"
"1","cg22009470"
"2","cg00009834"
"3","cg13798228"
"4","cg13993877"
"5","cg19448908"
"6","cg22138576"
"7","cg06751920"
"8","cg01071440"
"9","cg05771261"
"10","cg08664568"
"11","cg02054003"
"12","cg27392551"
"13","cg23036171"
"14","cg17924754"
"15","cg08710169"
"16","cg21253060"
"17","cg25977900"
"18","cg07693844"
"19","cg10296742"
"20","cg02883474"
"21","cg20609803"
"22","cg01013225"
"23","cg04506114"
"24","cg20382127"
"25","cg08742879"
"26","cg27216707"
"27","cg26576196"
"28","cg24488001"
"29","cg16765734"
"30","cg05240610"
"31","cg21699321"
"32","cg20955989"
"33","cg07323088"
"34","cg12647257"
"35","cg16429887"
"36","cg06609051"
"37","cg09750769"
"38","cg00416386"
"39","cg11650235"
"40","cg21867744"
"41","cg02312647"
"42","cg14511866"
"43","cg08937505"
"44","cg18563347"
"45","cg00008956"
"46","cg27053108"
"47","cg11961275"
"48","cg11552903"
"49","cg24109955"
"50","cg04982052"
"51","cg26277641"
"52","cg16813665"
"53","cg17974460"
"54","cg05086580"
"55","cg07080147"
"56","cg02821693"
"57","cg09242343"
"58","cg25384867"
"59","cg27285287"
"60","cg05043943"
"61","cg04884384"
"62","cg00483878"
"63","cg10094111"
"64","cg16610810"
"65","cg10354474"
"66","cg19784816"
"67","cg13750441"
"68","cg01116196"
"69","cg00305833"
"70","cg19299448"
"71","cg07378309"
"72","cg07026224"
"73","cg08158518"
"74","cg13685330"
"75","cg00972731"
"76","cg02213103"
"77","cg03028477"
"78","cg17799013"
"79","cg01294862"
"80","cg21762680"
"81","cg21620606"
"82","cg19761640"
"83","cg11186593"
"84","cg13800612"
"85","cg10152447"
"86","cg15272153"
"87","cg10282330"
"88","cg13853560"
"89","cg15223080"
"90","cg21751406"
"91","cg14382835"
"92","cg25970358"
"93","cg00975086"
"94","cg25035008"
"95","cg01403559"
"96","cg26161997"
"97","cg17624989"
"98","cg18630485"
"99","cg02405609"
"100","cg14880905"
"101","cg09097916"
"102","cg09856908"
"103","cg16146849"
"104","cg13516763"
"105","cg19895845"
"106","cg13396289"
"107","cg14762652"
"108","cg21281086"
"109","cg11918957"
"110","cg22824890"
"111","cg05945315"
"112","cg20554049"
"113","cg04088674"
"114","cg07850612"
"115","cg03089865"
"116","cg19330536"
"117","cg05011238"
"118","cg06914123"
"119","cg17974424"
"120","cg17580898"
"121","cg01474544"
"122","cg14779557"
"123","cg18719571"
"124","cg03091027"
"125","cg19380578"
"126","cg12546695"
"127","cg14809932"
"128","cg00340855"
"129","cg07983888"
"130","cg00811377"
"131","cg17176005"
"132","cg26467528"
"133","cg22666687"
"134","cg13195955"
"135","cg09832108"
"136","cg14238986"
"137","cg00155619"
"138","cg03637976"
"139","cg14141517"
"140","cg25830052"
"141","cg09611878"
"142","cg14948436"
"143","cg13260793"
"144","cg06233135"
"145","cg02694449"
"146","cg11443888"
"147","cg08035994"
"148","cg06485521"
"149","cg01326123"
"150","cg17658266"
"151","cg09451215"
"152","cg06704469"
"153","cg04014297"
"154","cg26401541"
"155","cg12227907"
"156","cg06068369"
"157","cg02196834"
"158","cg02596153"
"159","cg02363737"
"160","cg15622279"
"161","cg04174710"
"162","cg16579940"
"163","cg25571136"
"164","cg10264354"
"165","cg19594626"
"166","cg25052561"
"167","cg17887007"
"168","cg00216073"
"169","cg13039393"
"170","cg14131835"
"171","cg25262548"
"172","cg15529893"
"173","cg17864046"
"174","cg01047485"
"175","cg04095995"
"176","cg18223153"
"177","cg14835981"
"178","cg03275910"
"179","cg04141948"
"180","cg07803377"
"181","cg19289969"
"182","cg16998016"
"183","cg19480263"
"184","cg15356660"
"185","cg15348643"
"186","cg04386498"
"187","cg25840921"
"188","cg14401837"
"189","cg27636594"
"190","cg06730409"
"191","cg26502266"
"192","cg16031718"
"193","cg00500448"
"194","cg15510373"
"195","cg12524865"
"196","cg09672291"
"197","cg14187696"
"198","cg00377070"
"199","cg20308335"
"200","cg23200285"
"201","cg23013736"
"202","cg17020337"
"203","cg12920361"
"204","cg27241639"
"205","cg05315620"
"206","cg26621491"
"207","cg02860921"
"208","cg07484253"
"209","cg02341578"
"210","cg05230854"
"211","cg16782885"
"212","cg02836965"
"213","cg08594681"
"214","cg21286173"
"215","cg00923934"
"216","cg14484149"
"217","cg26708812"
"218","cg15634474"
"219","cg14434412"
"220","cg15679829"
"221","cg27302168"
"222","cg10473375"
"223","cg17095489"
"224","cg22906878"
"225","cg13729766"
"226","cg10734259"
"227","cg21217329"
"228","cg22471333"
"229","cg14055167"
"230","cg05655575"
"231","cg23066811"
"232","cg01866301"
"233","cg14060944"
"234","cg14557855"
"235","cg21156006"
"236","cg26802390"
"237","cg19038887"
"238","cg14372570"
"239","cg13649502"
"240","cg13377354"
"241","cg13407601"
"242","cg20256804"
"243","cg04976075"
"244","cg24265076"
"245","cg22805294"
"246","cg02577788"
"247","cg02915692"
"248","cg04454215"
"249","cg00414835"
"250","cg04004590"
"251","cg16479851"
"252","cg12061062"
"253","cg00963675"
"254","cg19501889"
"255","cg07374306"
"256","cg01007305"
"257","cg09345397"
"258","cg06169961"
"259","cg05246521"
"260","cg27110166"
"261","cg06539091"
"262","cg11200042"
"263","cg13171643"
"264","cg14273607"
"265","cg00153041"
"266","cg19592252"
"267","cg08639843"
"268","cg18108946"
"269","cg05969154"
"270","cg04292941"
"271","cg01607369"
"272","cg08667771"
"273","cg08356509"
"274","cg09755939"
"275","cg18460980"
"276","cg22393694"
"277","cg22219450"
"278","cg16575370"
"279","cg12340169"
"280","cg13856573"
"281","cg14489155"
"282","cg08279935"
"283","cg24137670"
"284","cg10580715"
"285","cg24822877"
"286","cg04610274"
"287","cg13039082"
"288","cg02581960"
"289","cg08208133"
"290","cg01519094"
"291","cg07549115"
"292","cg06710207"
"293","cg14863485"
"294","cg07428396"
"295","cg09274587"
"296","cg09185599"
"297","cg23108714"
"298","cg14537104"
"299","cg17270887"
"300","cg04040991"
"301","cg21631669"
"302","cg05581469"
"303","cg00190875"
"304","cg24220733"
"305","cg27346614"
"306","cg19427600"
"307","cg03428611"
"308","cg16491668"
"309","cg03240163"
"310","cg00184240"
"311","cg23668210"
"312","cg01826210"
"313","cg25822086"
"314","cg12431496"
"315","cg18261781"
"316","cg05001544"
"317","cg23957126"
"318","cg07934321"
"319","cg20667570"
"320","cg25415622"
"321","cg03644102"
"322","cg07258241"
"323","cg12797017"
"324","cg19165737"
"325","cg16086588"
"326","cg15963095"
"327","cg21103400"
"328","cg05545410"
"329","cg11776269"
"330","cg00762185"
"331","cg25519842"
"332","cg20391208"
"333","cg25607643"
"334","cg02250353"
"335","cg16958467"
"336","cg04160666"
"337","cg10168344"
"338","cg14573591"
"339","cg01984146"
"340","cg27071065"
"341","cg02713760"
"342","cg07736457"
"343","cg22626168"
"344","cg24271258"
"345","cg04565630"
"346","cg27493345"
"347","cg01707976"
"348","cg10598544"
"349","cg18284050"
"350","cg20100542"
"351","cg17535781"
"352","cg13115517"
"353","cg16929072"
"354","cg02448067"
"355","cg09038266"
"356","cg02577580"
"357","cg08532673"
"358","cg22288657"
"359","cg00950385"
"360","cg00343078"
"361","cg10791984"
"362","cg23439464"
"363","cg04374102"
"364","cg09090988"
"365","cg18358007"
"366","cg12552293"
"367","cg24744258"
"368","cg17396903"
"369","cg27109284"
"370","cg21466604"
"371","cg01806265"
"372","cg01453388"
"373","cg10909222"
"374","cg25892761"
"375","cg27136344"
"376","cg25937046"
"377","cg10688123"
"378","cg26647545"
"379","cg16176440"
"380","cg16583884"
"381","cg02248101"
"382","cg20773673"
"383","cg23602578"
"384","cg03826496"
"385","cg00151768"
