"","x"
"cg06325811",15
"cg06623778",44
"cg05527507",65
"cg19669771",87
"cg19724344",89
"cg21830050",108
"cg12663811",129
"cg07390924",130
"cg12536471",132
"cg23207077",135
"cg23552821",171
"cg18977839",172
"cg03185752",208
"cg17928920",219
"cg18025136",351
"cg07304255",388
"cg19925558",389
"cg00699898",478
"cg19237691",501
"cg12701018",506
"cg15924570",508
"cg14661234",512
"cg27440283",687
"cg14488957",688
"cg04232698",718
"cg07284273",780
"cg19436320",781
"cg00040588",782
"cg12478066",784
"cg23036947",785
"cg16278124",853
"cg17397377",854
"cg14795268",859
"cg04384590",895
"cg07280242",933
"cg13798621",934
"cg13850380",991
"cg05338320",1045
"cg19246761",1064
"cg05941212",1066
"cg24535439",1100
"cg00262621",1101
"cg08231710",1102
"cg00669623",1143
"cg11837076",1195
"cg16677144",1233
"cg18854735",1244
"cg21776599",1248
"cg16384593",1251
"cg02577049",1273
"cg22619719",1334
"cg22344830",1377
"cg09767587",1444
"cg26610624",1449
"cg21137823",1450
"cg16735509",1535
"cg18188739",1596
"cg04771433",1607
"cg03732007",1619
"cg01351387",1741
"cg04557908",1760
"cg12799824",1778
"cg05052194",1780
"cg10397932",1793
"cg16052025",1808
"cg11514097",1824
"cg00715290",1873
"cg13850019",1917
"cg04286030",2010
"cg05888192",2148
"cg17445605",2257
"cg17806162",2274
"cg21391741",2333
"cg03140480",2355
"cg20848441",2452
"cg22377505",2572
"cg06991974",2629
"cg08528984",2631
"cg14966901",2809
"cg05354921",2810
"cg18240463",2950
"cg21475097",2951
"cg15035278",2996
"cg26885497",3172
"cg21197219",3216
"cg15223429",3217
"cg01269514",3250
"cg17691102",3269
"cg15051989",3382
"cg04100463",3402
"cg09798435",3458
"cg22614891",3461
"cg16823083",3462
"cg10038618",3463
"cg24678611",3464
"cg17100513",3478
"cg20306863",3485
"cg06202149",3491
"cg26105278",3533
"cg17804348",3555
"cg07178825",3556
"cg07997596",3587
"cg03808734",3660
"cg19375403",3688
"cg25140945",3697
"cg02693688",3698
"cg02568684",3828
"cg10848737",3866
"cg01494664",3902
"cg17328472",3912
"cg11735846",3940
"cg22922249",3941
"cg12065138",3943
"cg13498778",4037
"cg26841102",4069
"cg25272757",4119
"cg12590793",4133
"cg07928086",4148
"cg16993213",4286
"cg01096738",4287
"cg00702417",4288
"cg05151379",4289
"cg07319375",4419
"cg04898695",4463
"cg15584788",4506
"cg24870568",4507
"cg17515966",4508
"cg11764177",4509
"cg21210232",4511
"cg00030047",4512
"cg16359901",4513
"cg21413219",4543
"cg24463605",4546
"cg19743103",4551
"cg04992704",4552
"cg10829621",4553
"cg03327263",4554
"cg19802649",4557
"cg14566624",4566
"cg05912063",4659
"cg08611694",4661
"cg24563804",4691
"cg09273516",4693
"cg08407765",4701
"cg03186004",4708
"cg01501312",4709
"cg09549827",4711
"cg01715088",4723
"cg25491951",4736
"cg12533539",4777
"cg21453303",4779
"cg13239745",4838
"cg10055231",4855
"cg12690996",4856
"cg07793638",4874
"cg17946470",4887
"cg10265982",4953
"cg27557829",4996
"cg09015774",4998
"cg05966431",4999
"cg21144493",5052
"cg06129585",5085
"cg23108778",5223
"cg03762572",5256
"cg24199528",5270
"cg14157073",5311
"cg21999952",5360
"cg23542859",5397
"cg12045833",5405
"cg26359510",5435
"cg23922638",5438
"cg02764373",5476
"cg18376288",5477
"cg00590817",5528
"cg25312937",5546
"cg25079060",5658
"cg17597631",5662
"cg20316440",5671
"cg00120948",5678
"cg16484858",5680
"cg11072627",5756
"cg27305255",5763
"cg06749269",5855
"cg17341110",5894
"cg14296111",5899
"cg08644511",5920
"cg24167422",5949
"cg00011203",5964
"cg08295452",5968
"cg23914842",6006
"cg25755851",6011
"cg09869882",6019
"cg03003073",6119
"cg12401152",6176
"cg19793962",6223
"cg14989202",6224
"cg16597045",6225
"cg07427436",6240
"cg20546648",6251
"cg15733111",6263
"cg19858017",6329
"cg17575567",6380
"cg11665263",6384
"cg17953816",6385
"cg10796749",6408
"cg14202757",6410
"cg03406535",6412
"cg13374225",6418
"cg11846543",6455
"cg06979961",6456
"cg22400059",6579
"cg07159230",6696
"cg05654925",6720
"cg11233000",6799
"cg14314341",6801
"cg24298421",6802
"cg00944431",6828
"cg26426938",6851
"cg19443705",6854
"cg00157638",6858
"cg19704755",6859
"cg04421351",6860
"cg25220896",6879
"cg06150260",6880
"cg05599158",7067
"cg24937877",7092
"cg26643377",7205
"cg21515751",7215
"cg16077279",7216
"cg04290747",7217
"cg02897540",7241
"cg20627099",7286
"cg04000047",7287
"cg15861278",7321
"cg19180348",7322
"cg20351062",7326
"cg18187189",7327
"cg00979000",7349
"cg11726288",7357
"cg00831929",7381
"cg16168848",7385
"cg08062194",7386
"cg11111200",7402
"cg09872491",7403
"cg11717194",7413
"cg03529003",7415
"cg12508590",7416
"cg13389460",7465
"cg04506109",7497
"cg16305333",7498
"cg07731304",7499
"cg20820107",7538
"cg20572374",7568
"cg06620723",7613
"cg07759992",7630
"cg03546814",7639
"cg01146810",7640
"cg13314614",7726
"cg23603036",7732
"cg23084526",7803
"cg24594454",7804
"cg25289880",7809
"cg22798977",7825
"cg25286482",7826
"cg02933679",7827
"cg14139123",7881
"cg14269708",7947
"cg22781249",7948
"cg13230996",7959
"cg07475390",7974
"cg12873454",8038
"cg16985952",8057
"cg01567509",8067
"cg09094328",8105
"cg02835848",8106
"cg00809863",8108
"cg14472069",8148
"cg13322252",8187
"cg16552271",8188
"cg07901253",8192
"cg21182644",8213
"cg23238147",8216
"cg15142550",8224
"cg17573415",8225
"cg00772714",8232
"cg10107292",8254
"cg08815479",8299
"cg04029421",8301
"cg06207778",8357
"cg05507805",8377
"cg18271071",8444
"cg11706911",8468
"cg07007550",8503
"cg24693704",8563
"cg03305795",8589
"cg16004427",8591
"cg07846167",8595
"cg16519300",8596
"cg03926702",8630
"cg05821634",8635
"cg18973939",8636
"cg10256089",8639
"cg12462099",8657
"cg00004667",8715
"cg20326928",8784
"cg25851313",8786
"cg19585442",8842
"cg12610519",8858
"cg06365898",8886
"cg17465616",8898
"cg14429204",8902
"cg03522107",8903
"cg08915038",8912
"cg16380888",8913
"cg10623389",8942
"cg06844181",8953
"cg09750171",8995
"cg11451334",8998
"cg02815786",8999
"cg13384150",9012
"cg02026604",9013
"cg13171718",9027
"cg27227029",9069
"cg00714888",9096
"cg12999103",9158
"cg11192270",9159
"cg02918893",9160
"cg07100542",9187
"cg27576785",9231
"cg16091981",9313
"cg17785802",9321
"cg14561834",9330
"cg09299086",9364
"cg13439596",9365
"cg06151567",9382
"cg03227570",9383
"cg04794690",9386
"cg10123662",9418
"cg22005304",9470
"cg07121807",9590
"cg17217879",9648
"cg17945001",9650
"cg17211582",9652
"cg19585156",9653
"cg00388391",9659
"cg07371981",9670
"cg23010629",9740
"cg18560776",9793
"cg08235970",9814
"cg09975867",9815
"cg00855990",9816
"cg09670535",9817
"cg08549396",9818
"cg14840612",9819
"cg15505287",9820
"cg13207345",9821
"cg04126266",9822
"cg02178648",9823
"cg08164371",9825
"cg06178299",9826
"cg19197948",9827
"cg01797257",9828
"cg14831950",9829
"cg04240109",9830
"cg26111349",9833
"cg14831539",9835
"cg11704005",9841
"cg08350288",9860
"cg27490286",9868
"cg05551713",9894
"cg15916653",9895
"cg02649818",9950
"cg14434099",9968
"cg26550235",9989
"cg10270640",10014
"cg24071927",10104
"cg06837242",10108
"cg20677058",10119
"cg14446565",10238
"cg05051464",10239
"cg04925599",10263
"cg07147364",10287
"cg02956519",10305
"cg01468656",10312
"cg27549720",10313
"cg18023598",10314
"cg09133562",10370
"cg09550558",10402
"cg13242924",10454
"cg21954572",10520
"cg18705632",10534
"cg02195657",10555
"cg08024029",10590
"cg03474184",10592
"cg26831566",10604
"cg20283477",10605
"cg15716637",10635
"cg05375585",10641
"cg06897478",10653
"cg05004665",10655
"cg17427639",10658
"cg02941008",10663
"cg22214335",10664
"cg22942704",10665
"cg11526866",10666
"cg15142222",10685
"cg26557658",10686
"cg17714127",10702
"cg05356564",10771
"cg18486150",10772
"cg18864674",10782
"cg00838773",10834
"cg08920867",10850
"cg23072086",10906
"cg15866363",10918
"cg19165640",10946
"cg15462862",10953
"cg16829306",10954
"cg21820517",10955
"cg09150029",10961
"cg23352747",10985
"cg20645065",10986
"cg11896266",11025
"cg17725163",11026
"cg22460923",11027
"cg11531272",11059
"cg00631482",11077
"cg19767478",11087
"cg01723876",11095
"cg05120085",11101
"cg19952435",11129
"cg02108176",11133
"cg00597730",11224
"cg23987736",11276
"cg00972636",11284
"cg07180649",11317
"cg15582954",11319
"cg23360332",11373
"cg22488750",11402
"cg21186609",11457
"cg18339969",11459
"cg18656127",11460
"cg24183984",11507
"cg26255052",11559
"cg22997543",11716
"cg13499468",11733
"cg18660064",11739
"cg07356011",11820
"cg17323828",11821
"cg12023170",11822
"cg14280658",11888
"cg03535461",11892
"cg01162865",11919
"cg14989815",11922
"cg16718162",11933
"cg10372630",11934
"cg18604560",11941
"cg13601046",11943
"cg03982763",11948
"cg10746029",11958
"cg10881360",11959
"cg12717729",11960
"cg14222916",11967
"cg07291005",11999
"cg06902898",12002
"cg08366126",12027
"cg19367136",12028
"cg01586797",12038
"cg05524740",12039
"cg19276111",12042
"cg00660272",12045
"cg18869856",12047
"cg26222199",12050
"cg26856289",12067
"cg12768969",12123
"cg26835312",12148
"cg08700651",12149
"cg01595062",12190
"cg08774410",12196
"cg08555162",12229
"cg02671019",12273
"cg00917251",12274
"cg07965110",12292
"cg11952735",12302
"cg21531925",12303
"cg09568594",12304
"cg03684513",12305
"cg09874213",12326
"cg03648483",12369
"cg12115073",12394
"cg26672794",12439
"cg27537125",12507
"cg19746802",12511
"cg09761367",12516
"cg24488469",12545
"cg07089262",12547
"cg21269758",12652
"cg04631202",12693
"cg06092310",12772
"cg05193538",12773
"cg21187265",12793
"cg12587382",12815
"cg20845544",12832
"cg20741185",12859
"cg19895786",12933
"cg10501085",12934
"cg22436229",12961
"cg11427039",12962
"cg24519413",12980
"cg02926005",12988
"cg01768342",13026
"cg20141168",13043
"cg12744634",13050
"cg24859158",13059
"cg01414934",13060
"cg12709196",13067
"cg00938395",13077
"cg02498602",13078
"cg08572767",13084
"cg00813993",13085
"cg16664472",13089
"cg04661629",13132
"cg00851154",13136
"cg12221565",13150
"cg26616083",13151
"cg22029297",13152
"cg02388865",13153
"cg19939102",13154
"cg06577005",13156
"cg14254745",13157
"cg21457896",13158
"cg03732263",13169
"cg23229016",13201
"cg19704489",13230
"cg22167396",13238
"cg07915515",13239
"cg20385686",13247
"cg16701767",13248
"cg12971683",13250
"cg22042546",13255
"cg16803621",13256
"cg09849688",13262
"cg15497006",13288
"cg04354805",13293
"cg12396969",13403
"cg16352283",13419
"cg10504885",13423
"cg02770313",13426
"cg23682945",13432
"cg12778567",13437
"cg22740110",13484
"cg11932264",13490
"cg18590618",13491
"cg25471443",13527
"cg15908125",13528
"cg01870058",13529
"cg05281945",13561
"cg06509993",13573
"cg20651453",13574
"cg10785977",13592
"cg01512026",13600
"cg14963371",13602
"cg08168580",13606
"cg26894259",13616
"cg08915615",13617
"cg15224908",13633
"cg10400390",13635
"cg00779166",13636
"cg05920908",13671
"cg15072832",13678
"cg05783223",13716
"cg11529397",13786
"cg27182070",13799
"cg05715293",13808
"cg03833272",13809
"cg16294338",13823
"cg01136460",13835
"cg14378564",13847
"cg18622631",13880
"cg12076479",13902
"cg03262242",13906
"cg14183647",13921
"cg08159879",13966
"cg25775721",13974
"cg15719025",14001
"cg01198591",14012
"cg04896949",14017
"cg09473424",14018
"cg20050190",14042
"cg26820929",14044
"cg08896512",14064
"cg02785792",14080
"cg13487185",14114
"cg15307678",14152
"cg07556059",14153
"cg05124308",14154
"cg16883141",14182
"cg03289219",14189
"cg00035847",14214
"cg22284828",14222
"cg22795471",14224
"cg17670650",14225
"cg02100997",14248
"cg13466456",14249
"cg13780616",14306
"cg10312476",14312
"cg24930749",14321
"cg14578275",14375
"cg02910959",14478
"cg15885505",14547
"cg25362248",14555
"cg17418085",14580
"cg21970463",14616
"cg24996263",14624
"cg08175125",14634
"cg00658151",14662
"cg00456651",14671
"cg17503629",14672
"cg07959046",14673
"cg20060846",14750
"cg15717165",14754
"cg03596592",14772
"cg15367245",14776
"cg20858149",14777
"cg01414687",14809
"cg05132705",14843
"cg17929317",14864
"cg00541683",14879
"cg16638238",14881
"cg21872368",14908
"cg25621182",14957
"cg23305408",14982
"cg05003322",14983
"cg16553500",14984
"cg13299148",14988
"cg00973823",15043
"cg03147838",15044
"cg04878000",15054
"cg15694605",15055
"cg10505580",15056
"cg06946551",15120
"cg03037114",15124
"cg06939307",15125
"cg17942618",15127
"cg09938838",15169
"cg04850370",15181
"cg11237573",15182
"cg04031504",15204
"cg07919197",15205
"cg07268239",15214
"cg27582994",15220
"cg02374817",15222
"cg00853979",15235
"cg14992253",15245
"cg19391429",15253
"cg16985778",15256
"cg14167389",15257
"cg10204320",15258
"cg01627483",15259
"cg01070065",15266
"cg19776942",15267
"cg22602019",15268
"cg04249754",15271
"cg20047483",15284
"cg20793809",15305
"cg09388351",15328
"cg05221875",15360
"cg06892952",15373
"cg25158602",15374
"cg24872163",15409
"cg13991616",15420
"cg02273797",15424
"cg12301823",15436
"cg25579419",15446
"cg12140975",15520
"cg22354583",15524
"cg06179485",15530
"cg12598340",15531
"cg26266099",15538
"cg01481000",15592
"cg17957967",15605
"cg13870102",15715
"cg03944314",15754
"cg17329292",15787
"cg27303855",15804
"cg02487499",15805
"cg09559021",15928
"cg23442151",15929
"cg11318232",15930
"cg05382123",15931
"cg21197216",15932
"cg06964608",15933
"cg13329248",15944
"cg23135442",15945
"cg18328755",15946
"cg09596405",15947
"cg19522055",15977
"cg21353284",16025
"cg18852567",16080
"cg11951427",16081
"cg07284483",16132
"cg24525364",16169
"cg05692130",16170
"cg00470748",16171
"cg06686246",16204
"cg09364688",16249
"cg06046369",16309
"cg13675280",16332
"cg01799338",16333
"cg02141814",16334
"cg01329260",16338
"cg22066241",16409
"cg23702073",16410
"cg16128155",16455
"cg17942851",16480
"cg11673291",16481
"cg16394290",16485
"cg08452766",16486
"cg03407907",16488
"cg03484255",16489
"cg27617214",16490
"cg21364696",16523
"cg03954991",16559
"cg10779037",16566
"cg11674933",16591
"cg13084345",16593
"cg08903855",16627
"cg14333068",16647
"cg01577933",16736
"cg23107256",16737
"cg06165395",16739
"cg17815567",16740
"cg12283656",16766
"cg03085170",16784
"cg19234488",16785
"cg11717705",16794
"cg24635860",16817
"cg24428600",16825
"cg26685501",16843
"cg19232655",16850
"cg14879860",16852
"cg02930200",16854
"cg12696750",16855
"cg11397548",16856
"cg23338945",16869
"cg13054119",16883
"cg25199283",16884
"cg00870095",16885
"cg06626655",16886
"cg15626777",16909
"cg11664987",16930
"cg01855272",16938
"cg17717442",16939
"cg13779907",16952
"cg12158389",16953
"cg18537001",16954
"cg00667938",16955
"cg26653529",16956
"cg18105315",16968
"cg25396229",16987
"cg18876826",17029
"cg03523189",17030
"cg23262274",17036
"cg15632862",17066
"cg07086037",17067
"cg17428744",17074
"cg25609528",17094
"cg16041823",17156
"cg19746897",17183
"cg25578443",17203
"cg08917530",17206
"cg06086731",17207
"cg16737808",17213
"cg02861615",17233
"cg15489005",17237
"cg14339182",17256
"cg06556218",17275
"cg22022568",17276
"cg23237972",17279
"cg10702770",17282
"cg02860281",17283
"cg02191674",17334
"cg13549152",17339
"cg18766056",17340
"cg00503866",17356
"cg04000234",17369
"cg22367631",17370
"cg08644489",17398
"cg24159575",17401
"cg21480214",17404
"cg19790515",17405
"cg14893456",17455
"cg07478773",17547
"cg08355042",17561
"cg12160637",17570
"cg06154570",17571
"cg19509030",17585
"cg01656955",17586
"cg11462533",17601
"cg02495604",17602
"cg18877284",17603
"cg08551248",17637
"cg10490227",17658
"cg01847380",17675
"cg27650434",17676
"cg15355146",17677
"cg23962483",17701
"cg01481503",17724
"cg20900524",17740
"cg05779344",17754
"cg14285050",17791
"cg27650636",17831
"cg08417097",17909
"cg13741422",17935
"cg11168433",17967
"cg11191814",17989
"cg08719289",17996
"cg10705800",17997
"cg01376402",18008
"cg07498531",18022
"cg22224597",18038
"cg12243843",18039
"cg02985983",18130
"cg19009776",18150
"cg19471466",18159
"cg24596898",18173
"cg22545007",18188
"cg15482882",18253
"cg19637387",18254
"cg16400494",18338
"cg24254842",18339
"cg13423554",18380
"cg11289747",18388
"cg24049493",18416
"cg07313701",18424
"cg26612618",18507
"cg12375158",18512
"cg13199589",18526
"cg06520846",18540
"cg06346081",18541
"cg27034720",18542
"cg10632214",18549
"cg05934660",18550
"cg10130860",18575
"cg18382599",18576
"cg08116724",18633
"cg24634568",18642
"cg18391694",18643
"cg14945834",18718
"cg02431672",18768
"cg04364629",18774
"cg07138491",18779
"cg06238169",18802
"cg21267936",18810
"cg04355435",18820
"cg07354371",18821
"cg18178715",18877
"cg25151532",18962
"cg20513178",18982
"cg17213946",18987
"cg24324755",19070
"cg02508525",19105
"cg06207804",19165
"cg18465391",19167
"cg06526872",19168
"cg21519202",19169
"cg12599982",19174
"cg06790019",19206
"cg10494282",19211
"cg07569994",19281
"cg06800578",19325
"cg02674114",19386
"cg03636912",19401
"cg21686694",19402
"cg23557935",19403
"cg05854107",19530
"cg24527881",19545
"cg06884882",19546
"cg14658964",19547
"cg01059432",19626
"cg05654404",19656
"cg13951491",19721
"cg18483451",19733
"cg13067634",19736
"cg02631906",19783
"cg03231785",19787
"cg18889144",19849
"cg05930162",19851
"cg17517453",19876
"cg15711727",19945
"cg00041872",19946
"cg05371506",19963
"cg02484337",19996
"cg12251452",20026
"cg19922871",20065
"cg16273620",20090
"cg02042310",20091
"cg13394726",20094
"cg01858698",20098
"cg22697864",20099
"cg14914422",20101
"cg14415160",20137
"cg00128877",20178
"cg04879861",20205
"cg26228614",20237
"cg06949158",20262
"cg13158571",20272
"cg16689634",20273
"cg10387890",20274
"cg11828446",20275
"cg24177808",20295
"cg06209689",20330
"cg08466179",20347
"cg22532312",20348
"cg18853718",20353
"cg23115387",20368
"cg18595867",20375
"cg13851904",20376
"cg24931632",20377
"cg09277376",20378
"cg09269866",20379
"cg08638320",20380
"cg03440588",20381
"cg24525176",20390
"cg08260398",20391
"cg17739555",20439
"cg20986652",20465
"cg01260146",20466
"cg02364551",20467
"cg08275015",20478
"cg05901141",20543
"cg05138148",20559
"cg04871498",20560
"cg27113430",20659
"cg07516023",20660
"cg08538032",20782
"cg26227005",20783
"cg04732872",20786
"cg09799176",20809
"cg07820317",20823
"cg07382435",20829
