"","aves","aves","aves","aves"
"cg07787583",0.554266116038542,0.55438528178729,0.55426172175573,0.55438294970679
"cg00745543",0.526438096574386,0.526569858827425,0.526418571676076,0.526414481295617
"cg01782059",0.598354389971367,0.598401526185089,0.598380915370557,0.598417291461363
"cg08594888",0.226356232895866,0.225247516415891,0.226606766346382,0.225395574664457
"cg27460547",0.242846896131389,0.24272342630077,0.242858984316435,0.242741594208833
"cg20509703",0.516891475894394,0.517009997049973,0.516920037297168,0.516963407588179
"cg15523135",0.566819168900582,0.566844492547645,0.566796181808278,0.566817342538511
"cg18011898",0.521697269262388,0.520710543164679,0.524079398885144,0.523000911409198
"cg05506864",0.57603241922,0.57600588438895,0.576012049387931,0.575985317289808
"cg10834567",0.267539527270041,0.268289524221239,0.267977649088922,0.268473638078596
"cg23085281",0.473000090389278,0.473399532436615,0.473056220113943,0.473352365293978
"cg09341796",0.402003910484525,0.402017279453932,0.40205686395382,0.40203385195069
"cg02135395",0.27613868492583,0.276051917895411,0.276411122814244,0.276286533420241
"cg01826979",0.369403668027496,0.369098546008129,0.369605835005318,0.369187282373337
"cg09479330",0.528683739078473,0.528654750109201,0.528755542289053,0.528676825058534
"cg23845009",0.27957776796179,0.279885500400442,0.279534823965387,0.279780425059115
"cg21748911",0.568012221467787,0.567987893071906,0.567980585584202,0.567957174610695
"cg01566785",0.269120235816894,0.268961943705456,0.269119519316089,0.268959813261051
"cg20230864",0.515003047399968,0.514829854101541,0.514941250082764,0.514784425471853
"cg21450520",0.509293896307674,0.509343145507304,0.509384977934703,0.509083058202179
"cg11616701",0.462929888742981,0.463135340346755,0.462921070481832,0.463093533968736
"cg20090883",0.580060590003494,0.580067388374645,0.580066037438425,0.580063115270279
"cg03203646",0.549023328275126,0.548866373036478,0.549060228996156,0.54894059301706
"cg25039753",0.518795314416551,0.518972626070457,0.518754538054905,0.518907469452786
"cg15473904",0.231654741166451,0.230751077695092,0.231750416425853,0.230755966470277
"cg03064447",0.521025900527419,0.521001890836113,0.521234094914671,0.521146428087174
"cg26229990",0.241330602748522,0.240605788509843,0.241407692953075,0.24068361457724
"cg26143452",0.24472716760625,0.245264663118535,0.244602424968477,0.245074370665794
"cg04206389",0.5575202464047,0.557486065848686,0.557425885503184,0.557401862644915
"cg16964716",0.341790540518959,0.341315120789651,0.34197943044634,0.341516125368241
"cg27377279",0.368797518549161,0.36860497674,0.36889279364742,0.368677838552899
"cg20704450",0.218302629933457,0.217761421127172,0.218280181288776,0.217724042721256
"cg26822501",0.23489076848948,0.234944290252402,0.234893482599623,0.23493770611399
"cg21061022",0.548718824463999,0.548473111574259,0.548649090126742,0.548459683131924
"cg24447625",0.252522014377683,0.252564720188751,0.252505104655145,0.252628490220451
"cg08864079",0.565519247166892,0.565507667873335,0.565555563343451,0.565510655346569
"cg17301053",0.482683642126706,0.482877392677559,0.485834263238784,0.485889002670515
"cg15671529",0.563263284783027,0.563326129927934,0.563273325285594,0.563321747667742
"cg20191852",0.410893393192505,0.411299414189158,0.410939449226287,0.411216887374685
"cg11305360",0.542658248359563,0.542638632296286,0.542650154206709,0.542659500252834
"cg17156725",0.583958095885731,0.58402414432201,0.583944402476148,0.584036280174374
"cg19539605",0.427765365010812,0.427967755187953,0.427733838647711,0.427911112696133
"cg16207213",0.536334508685755,0.53615214855739,0.536395600199365,0.536288248692787
"cg02774726",0.286152978198814,0.286099600696829,0.28655209398735,0.286557365205193
"cg20634266",0.281025686718082,0.280655921273513,0.281468527383613,0.281003469923687
"cg20874812",0.258794474928306,0.258222668123374,0.25905075261036,0.259006123167166
"cg01756899",0.585788360123118,0.585869235515409,0.585789054521857,0.585856041894173
"cg09939947",0.412062997162346,0.411673462079011,0.41174497892932,0.411383223154301
"cg09310229",0.555918874165851,0.556033362063016,0.555853606246268,0.555964306695347
"cg08153306",0.553964824229112,0.553942491322422,0.553892167490285,0.55388117973655
"cg27342910",0.555898714069105,0.556239188988836,0.556030841989893,0.556356012032449
"cg08881769",0.537868962899067,0.537915405480664,0.537714309249636,0.537768282757823
"cg24192805",0.29506042418192,0.294709313101511,0.2952768837613,0.294983709805938
"cg25361961",0.387730809690648,0.387532923925837,0.387510698552103,0.387223662046676
"cg00510892",0.547036289309985,0.546943723975133,0.547134778331998,0.547056908182189
"cg24918985",0.462006587204833,0.461957315707482,0.461660331124044,0.461734986754117
"cg13229857",0.226662773122548,0.226285059004983,0.22676437938075,0.226377511359095
"cg00317397",0.557434606270615,0.557390593599941,0.557374097954798,0.557347584891492
"cg20958300",0.574877793478809,0.574867940003176,0.575013250223069,0.575023520825999
"cg24711888",0.479968936990783,0.480120242039087,0.479731605903088,0.479851180399342
"cg12618270",0.564420469264774,0.56438177849346,0.564443150798491,0.564394124968229
"cg04971375",0.564644452766383,0.564649854259273,0.564766140536701,0.564710796979532
"cg07387038",0.568930017830178,0.568992576486152,0.567984576229205,0.568148135251712
"cg13723038",0.381062420261102,0.38070331448121,0.381024186591416,0.380670821537348
"cg15612947",0.231092437476874,0.230975931560838,0.231094816024062,0.230969345799079
"cg10637435",0.379662339475801,0.379353298717936,0.379717179445897,0.379409652890621
"cg08604087",0.576712424664178,0.576637207896748,0.576683202666613,0.576612270048114
"cg16418459",0.506384431916701,0.506489475177761,0.506434677553547,0.506472913474398
"cg18885645",0.224394238024797,0.224219015278101,0.224417314576939,0.224246506404517
"cg06268710",0.477150820427275,0.477509876680345,0.477023174586306,0.477314758284544
"cg02219147",0.578858948003815,0.579195041229311,0.578510545849892,0.578375414314478
"cg25793430",0.224209632460838,0.223548000974699,0.224328487781859,0.223625213119866
"cg14206516",0.52354457904714,0.523644114328731,0.523639487341107,0.523768497355125
"cg05306298",0.566175327950375,0.565939097173102,0.566156936407372,0.566004591922102
"cg00846140",0.549300096191619,0.549199501270988,0.54957877855063,0.549415735408455
"cg14852552",0.518807460226472,0.518742270966269,0.518908363280027,0.518898184157035
"cg09081693",0.581209568047604,0.581279854040885,0.5811924716387,0.581262586485174
"cg04150971",0.264014827227074,0.263494713840727,0.264065384763647,0.263501841520183
"cg17568119",0.535324601245078,0.53508925435396,0.535344724880403,0.535135323792357
"cg08644104",0.578198859255354,0.578043078250743,0.578215260639026,0.578080155651394
"cg18460862",0.538270949462992,0.538262448121659,0.53828371876006,0.538262748536771
"cg13232995",0.380995828223794,0.380195898151211,0.380958794711977,0.380259489036706
"cg22784419",0.496290986595495,0.496349707597081,0.496365013167151,0.496406867086558
"cg00738815",0.522457136061713,0.522408588396391,0.522504218752608,0.522389421215512
"cg25239516",0.59106758223098,0.591013704352485,0.591072269871326,0.590989130446448
"cg23784228",0.548781690562323,0.54889691625052,0.548979528171229,0.549042916818185
"cg27565936",0.560940782156982,0.560896676022914,0.5609971862605,0.560895742091038
"cg20332104",0.245658835480018,0.245495554807464,0.245642806732586,0.245479570121574
"cg04461566",0.403850230818782,0.403733517029441,0.403770970632907,0.403664102896619
"cg07143940",0.571920166442889,0.571871509162459,0.57190272001642,0.571856561749218
"cg08067088",0.580327014353315,0.58022981291323,0.580297637887487,0.580191267297233
